,search_title,year
1309,Patch Adams,1998
1310,Pathfinder: Legend of the Ghost Warrior,2007
1311,The Patriot,2000
1312,Paul,2011
1313,Paul Blart: Mall Cop 2,2015
1314,Paulie,1998
1315,Paycheck,2003
1316,The Peacemaker,1997
1317,The Peanuts Movie,2015
1318,Pearl Harbor,2001
1319,Penguins of Madagascar,2014
1320,People Like Us,2012
1321,Percy Jackson & The Olympians: The Lightning Thief,2010
1322,Percy Jackson: Sea of Monsters,2013
1323,A Perfect Getaway,2009
1324,The Perfect Guy,2015
1325,The Perfect Man,2005
1326,The Perfect Storm,2000
1327,Perfume - The Story of a Murderer,2006
1328,Peter Pan,2003
1329,The Phantom of the Opera,2004
1330,Phat Girlz,2006
1331,Philomena,2013
1332,Phone Booth,2003
1333,The Pianist,2002
1334,Pieces of April,2003
1335,Pineapple Express,2008
1336,The Pink Panther,2006
1337,The Pink Panther 2,2009
1338,Piranha 3D,2010
1339,The Pirates! Band of Misfits,2012
1340,Pirates of the Caribbean: The Curse of the Black Pearl,2003
1341,Pirates of the Caribbean: Dead Man's Chest,2006
1342,Pirates of the Caribbean: At World's End,2007
1343,Pirates of the Caribbean: On Stranger Tides,2011
1344,Pitch Black,2000
1345,Pitch Perfect,2012
1346,Pitch Perfect 2,2015
1347,Inside Out,2015
1348,Pixels,2015
1349,The Place Beyond the Pines,2013
1350,Planes,2013
1351,Planes: Fire & Rescue,2014
1352,Planet 51,2009
1353,Battle of the Year,2013
1354,Planet of the Apes,2001
1355,The Adventures of Pluto Nash,2002
1356,Point Break,2015
1357,Pokemon: The First Movie,1999
1358,Pokemon: The Movie 2000,2000
1359,Pokemon 3: The Movie,2001
1360,Poltergeist,2015
1361,Pompeii,2014
1362,Pooh's Heffalump Movie,2005
1363,Pootie Tang,2001
1364,Poseidon,2006
1365,The Postman,1997
1366,The Powerpuff Girls Movie,2002
1367,Precious: Based on the Novel Push by Sapphire,2009
1368,Predators,2010
1369,Premium Rush,2012
1370,Premonition,2007
1371,The Prestige,2006
1372,Pride & Glory,2008
1373,Pride and Prejudice and Zombies,2016
1374,Priest,2011
1375,Primary Colors,1998
1376,Prime,2005
1377,The Prince and Me,2004
1378,The Prince of Egypt,1998
1379,Prince of Persia: The Sands of Time,2010
1380,The Princess and the Frog,2009
1381,The Princess Diaries,2001
1382,The Princess Diaries 2: Royal Engagement,2004
1383,Princess Kaiulani,2010
1384,Prisoners,2013
1385,"The Prize Winner of Defiance, Ohio",2005
1386,The Producers,2005
1387,Prom,2011
1388,Prometheus,2012
1389,Prom Night,2008
1390,Proof,2005
1391,Proof of Life,2000
1392,The Proposal,2009
1393,P.S. I Love You,2007
1394,Public Enemies,2009
1395,The Punisher,2004
1396,Punisher: War Zone,2008
1397,The Purge,2013
1398,The Purge: Anarchy,2014
1399,The Purge: Election Year,2016
1400,The Pursuit of Happyness,2006
1401,Push,2009
1402,Puss in Boots,2011
1403,Quarantine,2008
1404,Queen of the Damned,2002
1405,The Quiet American,2002
1406,Rabbit Hole,2010
1407,Radio,2003
1408,Raise Your Voice,2004
1409,Rambo,2008
1410,Rambo III,1988
1411,Ramona and Beezus,2010
1412,Random Hearts,1999
1413,Rango,2011
1414,Tangled,2010
1415,Ratatouille,2007
1416,The Raven,2012
1417,Ray,2004
1418,The Reader,2008
1419,Ready to Rumble,2000
1420,Wreck-It Ralph,2012
1421,Recess: School's Out,2001
1422,Red 2,2013
1423,Red,2010
1424,Redbelt,2008
1425,Red Dawn,2012
1426,Red Dragon,2002
1427,Red Eye,2005
1428,Redline,2007
1429,Red Riding Hood,2011
1430,Red Tails,2012
1431,Reign of Fire,2002
1432,Reign Over Me,2007
1433,Reindeer Games,2000
1434,Remember Me,2010
1435,Remember the Titans,2000
1436,Reno 911!: Miami,2007
1437,Rent,2005
1438,The Replacements,2000
1439,Repo Men,2010
1440,Resident Evil,2002
1441,Resident Evil: Afterlife,2010
1442,Resident Evil: Retribution,2012
1443,Resident Evil: Apocalypse,2004
1444,Return to Me,2000
1445,Return to Never Land,2002
1446,The Revenant,2015
1447,Revolutionary Road,2008
1448,Ricki and the Flash,2015
1449,Riddick,2013
1450,Ride Along,2014
1451,Ride Along 2,2016
1452,Righteous Kill,2008
1453,The Ring,2002
1454,Rio,2011
1455,Rio 2,2014
1456,R.I.P.D.,2013
1457,The Rise and Fall of Miss Thang,2008
1458,Risen,2016
1459,Rise of the Planet of the Apes,2011
1460,The Rite,2011
1461,The Road,2009
1462,The Road to El Dorado,2000
1463,Road to Perdition,2002
1464,Road Trip,2000
1465,RoboCop,2014
1466,Robots,2005
1467,The Rock,1996
1468,The Rocker,2008
1469,Rocket Science,2007
1470,Rock of Ages,2012
1471,Rocky Balboa,2006
1472,The Adventures of Rocky & Bullwinkle,2000
1473,This is the End,2013
1474,Role Models,2008
1475,Rollerball,2002
1476,Romeo Must Die,2000
1477,The Rookie,2002
1478,The Roommate,2011
1479,Welcome Home Roscoe Jenkins,2008
1480,Royal Kill,2009
1481,The Royal Tenenbaums,2001
1482,Rugrats Go Wild,2003
1483,Rugrats in Paris: The Movie,2000
1484,The Rules of Attraction,2002
1485,Rules of Engagement,2000
1486,The Rum Diary,2011
1487,Run All Night,2015
1488,Runaway Bride,1999
1489,Runaway Jury,2003
1490,The Rundown,2003
1491,Run Fat Boy Run,2008
1492,Runner Runner,2013
1493,The Running Man,1987
1494,Running Scared,2006
1495,Martin Lawrence Live: Runteldat,2002
1496,Rush,2013
1497,Rush Hour 2,2001
1498,Rush Hour 3,2007
1499,RV,2006
1500,Safe Haven,2013
1501,Safe House,2012
1502,Sahara,2005
1503,Salt,2010
1504,San Andreas,2015
1505,Sanctum,2011
1506,The Santa Clause 2,2002
1507,Savages,2012
1508,Saved!,2004
1509,Saving Mr. Banks,2013
1510,Saving Private Ryan,1998
1511,Saw II,2005
1512,Saw III,2006
1513,Saw VI,2009
1514,Saw 3D,2010
1515,Scary Movie,2000
1516,Scary Movie 2,2001
1517,Scary Movie 3,2003
1518,Scary Movie 4,2006
1519,Scary Movie 5,2013
1520,Schindler's List,1993
1521,School for Scoundrels,2006
1522,School of Rock,2003
1523,Scooby-Doo,2002
1524,The Score,2001
1525,The Scorpion King,2002
1526,The Martian,2015
1527,Scott Pilgrim vs. the World,2010
1528,Scouts Guide to the Zombie Apocalypse,2015
1529,Scream 3,2000
1530,Scream 4,2011
1531,Screwed,2000
1532,Seabiscuit,2003
1533,Season of the Witch,2011
1534,Secondhand Lions,2003
1535,Secretariat,2010
1536,The Secret Life of Bees,2008
1537,The Secret of Kells,2010
1538,Kingsman: The Secret Service,2015
1539,Secret Window,2004
1540,Seed of Chucky,2004
1541,Seeking a Friend for the End of the World,2012
1542,See No Evil,2006
1543,Self/Less,2015
1544,Selma,2014
1545,September Dawn,2007
1546,Serenity,2005
1547,Serving Sara,2002
1548,Seven Pounds,2008
1549,Seven Psychopaths,2012
1550,Seventh Son,2015
1551,Sex and the City,2008
1552,Sex and the City 2,2010
1553,Sex Tape,2014
1554,Shallow Hal,2001
1555,Shall We Dance,2004
1556,Shanghai Knights,2003
1557,Shanghai Noon,2000
1558,Shark Night 3D,2011
1559,Shark Tale,2004
1560,Sherlock Holmes,2009
1561,She's the Man,2006
1562,The Shipping News,2001
1563,Shoot 'Em Up,2007
1564,Shooter,2007
1565,Showtime,2002
1566,Shrek,2001
1567,Shrek 2,2004
1568,Shrek the Third,2007
1569,Shrek Forever After,2010
1570,Shutter Island,2010
1571,Sicario,2015
1572,Sicko,2007
1573,Sideways,2004
1574,Signs,2002
1575,The Silence of the Lambs,1991
1576,Silent Hill,2006
1577,Silent Hill: Revelation 3D,2012
1578,Silver Linings Playbook,2012
1579,The Simpsons Movie,2007
1580,Sinbad: Legend of the Seven Seas,2003
1581,Sin City,2005
1582,A Single Man,2009
1583,Sinister,2012
1584,Sinister 2,2015
1585,The Sitter,2011
1586,The Sixth Sense,1999
1587,The Skeleton Key,2005
1588,The Skulls,2000
1589,Sky Captain and the World of Tomorrow,2004
1590,Sky High,2005
1591,Skyline,2010
1592,Slackers,2002
1593,Sleepy Hollow,1999
1594,Slither,2006
1595,Slumdog Millionaire,2008
1596,Small Time Crooks,2000
1597,Smokin' Aces,2007
1598,The Smurfs,2011
1599,The Smurfs 2,2013
1600,Snakes on a Plane,2006
1601,Snow Day,2000
1602,Snow Dogs,2002
1603,Snow Falling on Cedars,1999
1604,Snow Flower and the Secret Fan,2011
1605,Snow White and the Huntsman,2012
1606,The Social Network,2010
1607,Solaris,2002
1608,Solitary Man,2010
1609,Someone Like You,2001
1610,Something Borrowed,2011
1611,Something's Gotta Give,2003
1612,Somewhere,2010
1613,Son of the Mask,2005
1614,The Sorcerer's Apprentice,2010
1615,Sorority Boys,2002
1616,Soul Plane,2004
1617,Soul Surfer,2011
1618,A Sound of Thunder,2005
1619,Source Code,2011
1620,"South Park - Bigger, Longer and Uncut",1999
1621,Southpaw,2015
1622,Space Chimps,2008
1623,Space Cowboys,2000
1624,Spanglish,2004
1625,Sparkle,2012
1626,Speed Racer,2008
1627,Spider,2002
1628,Spider-Man,2002
1629,Spider-Man 2,2004
1630,Spider-Man 3,2007
1631,The Amazing Spider-Man,2012
1632,The Spiderwick Chronicles,2008
1633,Spirit: Stallion of the Cimarron,2002
1634,Splice,2010
1635,The SpongeBob SquarePants Movie,2004
1636,The SpongeBob Movie: Sponge Out of Water,2015
1637,Spring Breakers,2013
1638,Spy Game,2001
1639,Spy Kids,2001
1640,Spy Kids 2: The Island of Lost Dreams,2002
1641,Spy Kids 3D: Game Over,2003
1642,Spy Kids: All the Time in the World,2011
1643,The Spy Next Door,2010
1644,Stardust,2007
1645,Starship Troopers,1997
1646,Starsky and Hutch,2004
1647,Star Trek: Nemesis,2002
1648,Star Trek,2009
1649,Star Trek Into Darkness,2013
1650,Star Wars: The Force Awakens,2015
1651,Stealth,2005
1652,Steamboy,2005
1653,Step Brothers,2008
1654,The Stepfather,2009
1655,The Stepford Wives,2004
1656,Stepmom,1998
1657,Step Up,2006
1658,Step Up 3-D,2010
1659,Step Up Revolution,2012
1660,Stigmata,1999
1661,Still Alice,2015
1662,Stir of Echoes,1999
1663,Stomp the Yard,2007
1664,Stone,2010
1665,Stop-Loss,2008
1666,The Story of Us,1999
1667,Straight Outta Compton,2015
1668,The Strangers,2008
1669,Stranger Than Fiction,2006
1670,Straw Dogs,2011
1671,Street Fighter,1994
1672,Street Kings,2008
1673,Stuart Little,1999
1674,Stuart Little 2,2002
1675,Sucker Punch,2011
1676,Summer of Sam,1999
1677,The Sum of All Fears,2002
1678,Super 8,2011
1679,Superbad,2007
1680,Superman Returns,2006
1681,Man of Steel,2013
1682,Batman v Superman: Dawn of Justice,2016
1683,Super Size Me,2004
1684,Superstar,1999
1685,Super Troopers,2002
1686,"Surfer, Dude",2008
1687,Surrogates,2009
1688,Spy,2015
1689,Suspect Zero,2004
1690,S.W.A.T.,2003
1691,Sweeney Todd: The Demon Barber of Fleet Street,2007
1692,The Sweetest Thing,2002
1693,Sweet Home Alabama,2002
1694,Swept Away,2002
1695,SwimFan,2002
1696,Swing Vote,2008
1697,Swordfish,2001
1698,Syriana,2005
1699,The Tailor of Panama,2001
1700,Taken,2009
1701,Taken 2,2012
1702,Taken 3,2015
1703,Taking Lives,2004
1704,The Taking of Pelham 1 2 3,2009
1705,Taking Woodstock,2009
1706,The Talented Mr. Ripley,1999
1707,The Tale of Despereaux,2008
1708,Tammy,2014
1709,The Legend of Tarzan,2016
1710,Taxi,2004
1711,The Texas Chainsaw Massacre: The Beginning,2006
1712,Team America: World Police,2004
1713,Tears of the Sun,2003
1714,Ted,2012
1715,Ted 2,2015
1716,The Tempest,2010
1717,Tenacious D in: The Pick of Destiny,2006
1718,The Terminal,2004
1719,Terminator 2: Judgment Day,1991
1720,Terminator: Genisys,2015
1721,Terminator 3: Rise of the Machines,2003
1722,Terminator Salvation,2009
1723,The Ghost Writer,2010
1724,The Hateful Eight,2015
1725,The Longest Ride,2015
1726,The Muppets,2011
1727,The Theory of Everything,2014
1728,Just Go With It,2011
1729,There Will Be Blood,2007
1730,The Runaways,2010
1731,The Shallows,2016
1732,The Unknowns,2016
1733,Wes Craven Presents: They,2002
1734,Think Like a Man,2012
1735,Think Like a Man Too,2014
1736,Thirteen,2003
1737,Thirteen Days,2000
1738,The Thirteenth Floor,1999
1739,This Christmas,2007
1740,This Means War,2012
1741,The Thomas Crown Affair,1999
1742,Thor,2011
1743,Thor: The Dark World,2013
1744,3 Days to Kill,2014
1745,Three Kings,1999
1746,The Three Musketeers,2011
1747,The Three Stooges,2012
1748,Three to Tango,1999
1749,Thunderbirds,2004
1750,The Tigger Movie,2000
1751,Timeline,2003
1752,The Time Machine,2002
1753,The Time Traveler's Wife,2009
1754,Teenage Mutant Ninja Turtles,2014
1755,Teenage Mutant Ninja Turtles: Out of the Shadows,2016
1756,TMNT,2007
1757,Lara Croft: Tomb Raider,2001
1758,Lara Croft Tomb Raider: The Cradle of Life,2003
1759,Tomcats,2001
1760,Tooth Fairy,2010
1761,Torque,2004
1762,To Save a Life,2010
1763,Total Recall,2012
1764,The Tourist,2010
1765,Tower Heist,2011
1766,The Town,2010
1767,Town & Country,2001
1768,Neighbors,2014
1769,Toy Story 3,2010
1770,Trainwreck,2015
1771,Traitor,2008
1772,Trance,2013
1773,Transcendence,2014
1774,Transformers,2007
1775,Transformers: Revenge of the Fallen,2009
1776,Transformers: Dark of the Moon,2011
1777,Transformers: Age of Extinction,2014
1778,The Transporter,2002
1779,Transporter 2,2005
1780,Trapped,2002
1781,Love Happens,2009
1782,The Sisterhood of the Traveling Pants,2005
1783,The Sisterhood of the Traveling Pants 2,2008
1784,Treasure Planet,2002
1785,The Tree of Life,2011
1786,Tron Legacy,2010
1787,Tropic Thunder,2008
1788,Troy,2004
1789,True Grit,2010
1790,Turbo,2013
1791,Turistas,2006
1792,Free Birds,2013
1793,The Tuxedo,2002
1794,Twelve,2010
1795,12 Years a Slave,2013
1796,Twilight,2008
1797,Twins,1988
1798,Twisted,2004
1799,Twister,1996
1800,Two for the Money,2005
1801,Two Weeks Notice,2002
1802,U-571,2000
1803,The Ugly Truth,2009
1804,Ultraviolet,2006
1805,Unaccompanied Minors,2006
1806,The Unborn,2009
1807,Unbreakable,2000
1808,Unbroken,2014
1809,The Man From U.N.C.L.E.,2015
1810,Under the Tuscan Sun,2003
1811,Underworld,2003
1812,Underworld: Rise of the Lycans,2009
1813,Underworld Awakening,2012
1814,Undiscovered,2005
1815,Undisputed,2002
1816,Unfaithful,2002
1817,An Unfinished Life,2005
1818,United 93,2006
1819,Unknown,2011
1820,Unleashed,2005
1821,Unstoppable,2010
1822,Mirror Mirror,2012
1823,Whiskey Tango Foxtrot,2016
1824,Vampires Suck,2010
1825,Untraceable,2008
1826,Up,2009
1827,Up in the Air,2009
1828,The Upside of Anger,2005
1829,Uptown Girls,2003
1830,Vacancy,2007
1831,Valentine's Day,2010
1832,Valiant,2005
1833,Valkyrie,2008
1834,Van Helsing,2004
1835,Vanilla Sky,2001
1836,Vanity Fair,2004
1837,Vantage Point,2008
1838,National Lampoon's Van Wilder,2002
1839,Varsity Blues,1999
1840,Unfinished Business,2015
1841,Veer Zaara,2004
1842,Jonah: A VeggieTales Movie,2002
1843,Veronica Guerin,2003
1844,Veronica Mars,2014
1845,Vertical Limit,2000
1846,V for Vendetta,2006
1847,The Village,2004
1848,The Virginity Hit,2010
1849,The Vow,2012
1850,Waiting...,2005
1851,Waiting for Forever,2011
1852,Walk Hard: The Dewey Cox Story,2007
1853,Walking Tall,2004
1854,Walking with Dinosaurs,2013
1855,Walk the Line,2005
1856,A Walk Among the Tombstones,2014
1857,WALL-E,2008
1858,Wallace and Gromit: The Curse of the Were-Rabbit,2005
1859,Wall Street: Money Never Sleeps,2010
1860,The Secret Life of Walter Mitty,2013
1861,Wanted,2008
1862,Warcraft,2016
1863,War Horse,2011
1864,Warm Bodies,2013
1865,Immortals,2011
1866,War of the Worlds,2005
1867,Warrior,2011
1868,The Warrior's Way,2010
1869,War Room,2015
1870,The Watcher,2000
1871,Watchmen,2009
1872,Water & Power,2014
1873,The Waterboy,1998
1874,Water for Elephants,2011
1875,The Way Back,2011
1876,The Weather Man,2005
1877,Wedding Crashers,2005
1878,The Wedding Date,2005
1879,The Wedding Planner,2001
1880,We Don't Live Here Anymore,2004
1881,Welcome to Mooseport,2004
1882,We Own the Night,2007
1883,We're the Millers,2013
1884,Tyler Perry Presents Peeples,2013
1885,We Were Soldiers,2002
1886,What a Girl Wants,2003
1887,What Happens in Vegas,2008
1888,What Lies Beneath,2000
1889,What's the Worst That Could Happen?,2001
1890,What's Your Number?,2011
1891,What to Expect When You're Expecting,2012
1892,What Women Want,2000
1893,When a Stranger Calls,2006
1894,When the Game Stands Tall,2014
1895,Where the Wild Things Are,2009
1896,Whip It,2009
1897,White Chicks,2004
1898,White House Down,2013
1899,White Oleander,2002
1900,Whiteout,2009
1901,Black Mass,2015
1902,The Whole Ten Yards,2004
1903,Tyler Perry's Why Did I Get Married Too?,2010
1904,The Wicker Man,2006
1905,The Wild,2006
1906,Wild Target,2010
1907,The Wild Thornberrys,2002
1908,Wild Wild West,1999
1909,Willard,2003
1910,Wimbledon,2004
1911,Win a Date with Tad Hamilton!,2004
1912,Windtalkers,2002
1913,Because of Winn-Dixie,2005
1914,Winnie the Pooh,2011
1915,Winter's Tale,2014
1916,Without a Paddle,2004
1917,The Wolfman,2010
1918,The Wolf of Wall Street,2013
1919,X-Men Origins: Wolverine,2009
1920,The Wolverine,2013
1921,Woman in Gold,2015
1922,The Women,2008
1923,Wonder Boys,2000
1924,The Words,2012
1925,The World Is Not Enough,1999
1926,The World's End,2013
1927,The World's Fastest Indian,2005
1928,World War Z,2013
1929,The Wrestler,2008
1930,World Trade Center,2006
1931,X-Men: Apocalypse,2016
1932,X2: X-Men United,2003
1933,X-Men: The Last Stand,2006
1934,The X-Files: I Want to Believe,2008
1935,The Night Before,2015
1936,X-Men,2000
1937,X-Men: Days of Future Past,2014
1938,X-Men: First Class,2011
1939,XXX,2002
1940,Divine Secrets of the Ya-Ya Sisterhood,2002
1941,Year One,2009
1942,Yes Man,2008
1943,Yogi Bear,2010
1944,You Again,2010
1945,You Don't Mess with the Zohan,2008
1946,You Got Served,2004
1947,"You, Me and Dupree",2006
1948,Young Adult,2011
1949,The Young Victoria,2009
1950,"Yours, Mine and Ours",2005
1951,Youth in Revolt,2010
1952,You've Got Mail,1998
1953,Zack and Miri Make a Porno,2008
1954,Zathura,2005
1955,Zodiac,2007
1956,Zookeeper,2011
1957,The Legend of Zorro,2005
